Node,degree,weighted_degree,in_strength,out_strength,pagerank,betweenness,weak_component,weak_component_size,Role,Relationship,Request,family_role,family,arrested
N30,0,0.0,0.0,0.0,0.0030319235052025904,0.0,17,1,,father of 30,,,,0.0
N31,0,0.0,0.0,0.0,0.0030319235052025904,0.0,18,1,enterpreneur,,,enterpreneur,Unknown,0.0
N32,0,0.0,0.0,0.0,0.0030319235052025904,0.0,19,1,member family ''Mistretta'',,,member,Mistretta,0.0
N46,0,0.0,0.0,0.0,0.0030319235052025904,0.0,20,1,boss family ''Tortorici'',,,boss,Tortorici,0.0
N55,0,0.0,0.0,0.0,0.0030319235052025904,0.0,21,1,member family ''Barcellona Pozzo di Gotto'',,,member,Barcellona Pozzo di Gotto,0.0
N59,0,0.0,0.0,0.0,0.0030319235052025904,0.0,22,1,enterpreneur,,,enterpreneur,Unknown,0.0
N60,0,0.0,0.0,0.0,0.0030319235052025904,0.0,23,1,,brother of 59,,,,0.0
N65,0,0.0,0.0,0.0,0.0030319235052025904,0.0,24,1,enterpreneur,,,enterpreneur,Unknown,0.0
N69,0,0.0,0.0,0.0,0.0030319235052025904,0.0,25,1,enterpreneur,,,enterpreneur,Unknown,0.0
N71,0,0.0,0.0,0.0,0.0030319235052025904,0.0,26,1,enterpreneur,,,enterpreneur,Unknown,0.0
N72,0,0.0,0.0,0.0,0.0030319235052025904,0.0,27,1,construction worker,,lack of evidence,construction worker,Unknown,0.0
N78,0,0.0,0.0,0.0,0.0030319235052025904,0.0,28,1,,sighted with 22 and 18,,,,0.0
N88,0,0.0,0.0,0.0,0.0030319235052025904,0.0,29,1,,sighted with 25 and 26,,,,0.0
N90,0,0.0,0.0,0.0,0.0030319235052025904,0.0,30,1,member family ''Batanesi'',,,member,Batanesi,0.0
N94,0,0.0,0.0,0.0,0.0030319235052025904,0.0,31,1,,sighted with 89 and 45,,,,0.0
N98,0,0.0,0.0,0.0,0.0030319235052025904,0.0,32,1,,,arrest request denied,,,0.0
N102,0,0.0,0.0,0.0,0.0030319235052025904,0.0,33,1,,,arrest request denied,,,0.0
N103,0,0.0,0.0,0.0,0.0030319235052025904,0.0,34,1,,phone tapping with 18,,,,0.0
N104,0,0.0,0.0,0.0,0.0030319235052025904,0.0,35,1,enterpreneur,,,enterpreneur,Unknown,0.0
N105,0,0.0,0.0,0.0,0.0030319235052025904,0.0,36,1,land owner,in contact with 37,,land owner,Unknown,0.0
N108,0,0.0,0.0,0.0,0.0030319235052025904,0.0,37,1,walking fishmonger,phone tapped with 18,,walking fishmonger,Unknown,0.0
N112,0,0.0,0.0,0.0,0.0030319235052025904,0.0,38,1,,external partnership,,,,0.0
N113,0,0.0,0.0,0.0,0.0030319235052025904,0.0,39,1,,external partnership,,,,0.0
N114,0,0.0,0.0,0.0,0.0030319235052025904,0.0,40,1,road haulier,external partnership,,road haulier,Unknown,0.0
N115,0,0.0,0.0,0.0,0.0030319235052025904,0.0,41,1,road haulier,external partnership,,road haulier,Unknown,0.0
N116,0,0.0,0.0,0.0,0.0030319235052025904,0.0,42,1,accountant employee of 113,accountant employee of 113,,accountant employee of 113,Unknown,0.0
N117,0,0.0,0.0,0.0,0.0030319235052025904,0.0,43,1,,phone tapping with 37,,,,0.0
N118,0,0.0,0.0,0.0,0.0030319235052025904,0.0,44,1,,external partnership,,,,0.0
N119,0,0.0,0.0,0.0,0.0030319235052025904,0.0,45,1,,nominee owner of the phone number used by 15,,,,0.0
N121,0,0.0,0.0,0.0,0.0030319235052025904,0.0,46,1,,nominee owner of the phone number used by 147,,,,0.0
N123,0,0.0,0.0,0.0,0.0030319235052025904,0.0,47,1,,Common-law wife of 47,,,,0.0
N124,0,0.0,0.0,0.0,0.0030319235052025904,0.0,48,1,,phone tapping with various members,,,,0.0
N126,0,0.0,0.0,0.0,0.0030319235052025904,0.0,49,1,,sighted and phone tapped several times,,,,0.0
N127,0,0.0,0.0,0.0,0.0030319235052025904,0.0,50,1,,phone tapped with 37,,,,0.0
N129,0,0.0,0.0,0.0,0.0030319235052025904,0.0,51,1,,phone tapped with 37,,,,0.0
N130,0,0.0,0.0,0.0,0.0030319235052025904,0.0,52,1,,phone tapped with 37,,,,0.0
N131,0,0.0,0.0,0.0,0.0030319235052025904,0.0,53,1,,phone tapped with 37,,,,0.0
N132,0,0.0,0.0,0.0,0.0030319235052025904,0.0,54,1,,phone tapped with 18,,,,0.0
N133,0,0.0,0.0,0.0,0.0030319235052025904,0.0,55,1,City employee,phone tapped with 37,,City employee,Unknown,0.0
N134,0,0.0,0.0,0.0,0.0030319235052025904,0.0,56,1,,phone tapped with 37,,,,0.0
N136,0,0.0,0.0,0.0,0.0030319235052025904,0.0,57,1,,common-law wife of 27,,,,0.0
N137,0,0.0,0.0,0.0,0.0030319235052025904,0.0,58,1,enterpreneur,,,enterpreneur,Unknown,0.0
N138,0,0.0,0.0,0.0,0.0030319235052025904,0.0,59,1,lawyer,in contact with 27,,lawyer,Unknown,0.0
N139,0,0.0,0.0,0.0,0.0030319235052025904,0.0,60,1,enterpreneur,,,enterpreneur,Unknown,0.0
N140,0,0.0,0.0,0.0,0.0030319235052025904,0.0,61,1,enterpreneur,,,enterpreneur,Unknown,0.0
N146,0,0.0,0.0,0.0,0.0030319235052025904,0.0,62,1,,phone tapped with 18,,,,0.0
N147,0,0.0,0.0,0.0,0.0030319235052025904,0.0,63,1,,phone tapped with 44,,,,0.0
N148,0,0.0,0.0,0.0,0.0030319235052025904,0.0,64,1,,wife of 149,,,,0.0
N152,0,0.0,0.0,0.0,0.0030319235052025904,0.0,65,1,,phone tapped with 15,,,,0.0
N153,0,0.0,0.0,0.0,0.0030319235052025904,0.0,66,1,,sells a car to 34,,,,0.0
N154,0,0.0,0.0,0.0,0.0030319235052025904,0.0,67,1,,,arrest request denied,,,0.0
52,0,0.0,0.0,0.0,0.0030319235052025904,0.0,68,1,,,,,,
