Node,degree,weighted_degree,in_strength,out_strength,pagerank,betweenness,weak_component,weak_component_size,Role,Relationship,Request,family_role,family,arrested,neighbor_count,surviving_neighbor_count,cross_family_reach,role_priority_score,current_pagerank,current_betweenness,current_weighted_degree,current_component_size,pagerank_pct,betweenness_pct,current_pagerank_pct,current_weighted_degree_pct,role_priority_score_pct,future_arrest_priority_score
N117,1,2.0,0.0,2.0,0.0013032175670621051,0.0,1,135,,phone tapping with 37,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.2691176470588235
N103,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,,phone tapping with 18,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.2691176470588235
N119,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,,nominee owner of the phone number used by 15,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.2691176470588235
N129,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,,phone tapped with 37,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.2691176470588235
N127,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,,phone tapped with 37,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.2691176470588235
N134,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,,phone tapped with 37,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.2691176470588235
N147,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,,phone tapped with 44,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.2691176470588235
N148,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,,wife of 149,,,,0.0,1,0,0,0,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.2691176470588235
N152,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,,phone tapped with 15,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.2691176470588235
N153,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,,sells a car to 34,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.2691176470588235
N154,0,0.0,0.0,0.0,0.0013032175670621051,0.0,6,1,,,arrest request denied,,,0.0,0,0,0,0,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.2691176470588235
